IDX,Year,Month,Quarter,1-week,1-month,3-month,6-month,12-month, Saving Deposit Rate,Best Lending Rate
479,2019,10,4,0.11,0.14,0.17,0.22,0.33,0.13,5.13
480,2019,11,4,0.11,0.14,0.17,0.22,0.33,0.02,5
481,2019,12,4,0.09,0.12,0.16,0.2,0.31,0.001943548,5
482,2020,01,1,0.09,0.12,0.16,0.2,0.31,0.001,5
483,2020,02,1,0.09,0.12,0.16,0.2,0.31,0.001,5
484,2020,03,1,0.09,0.12,0.14,0.19,0.29,0.001,5
485,2020,04,2,0.05,0.07,0.1,0.14,0.23,0.001,5
486,2020,05,2,0.04,0.06,0.08,0.12,0.21,0.001,5
487,2020,06,2,0.03,0.04,0.05,0.08,0.18,0.001,5
488,2020,07,3,0.03,0.04,0.05,0.08,0.17,0.001,5
489,2020,08,3,0.02,0.03,0.04,0.07,0.16,0.001,5
490,2020,09,3,0.02,0.03,0.04,0.07,0.16,0.001,5
491,2020,10,4,0.02,0.03,0.04,0.07,0.16,0.001,5
492,2020,11,4,0.01,0.02,0.02,0.06,0.14,0.001,5
493,2020,12,4,0.003,0.02,0.02,0.05,0.14,0.001,5
494,2021,01,1,0.003,0.02,0.02,0.05,0.14,0.001,5
495,2021,02,1,0.003,0.02,0.02,0.05,0.14,0.001,5
496,2021,03,1,0.003,0.02,0.02,0.05,0.12,0.001,5
497,2021,04,2,0.003,0.02,0.02,0.05,0.09,0.001,5
498,2021,05,2,0.003,0.02,0.02,0.04,0.08,0.001,5
499,2021,06,2,0.003,0.02,0.02,0.04,0.09,0.001,5
500,2021,07,3,0.003,0.02,0.02,0.04,0.09,0.001,5
501,2021,08,3,0.003,0.02,0.02,0.04,0.09,0.001,5
502,2021,09,3,0.003,0.02,0.02,0.04,0.09,0.001,5
503,2021,10,4,0.003,0.02,0.02,0.04,0.09,0.001,5
504,2021,11,4,0.003,0.02,0.02,0.04,0.08,0.001,5
505,2021,12,4,0.003,0.02,0.02,0.04,0.08,0.001,5
506,2022,01,1,0.003,0.02,0.02,0.04,0.08,0.001,5
507,2022,02,1,0.003,0.02,0.02,0.04,0.08,0.001,5
508,2022,03,1,0.003,0.02,0.02,0.04,0.08,0.001,5
509,2022,04,2,0.003,0.02,0.02,0.04,0.08,0.001,5
510,2022,05,2,0.003,0.02,0.02,0.04,0.09,0.001,5
511,2022,06,2,0.003,0.02,0.03,0.05,0.11,0.001,5
512,2022,07,3,0.003,0.02,0.03,0.05,0.11,0.001,5
513,2022,08,3,0.003,0.02,0.03,0.05,0.11,0.001,5
514,2022,09,3,0.008,0.02,0.03,0.05,0.11,0.02,5.03
515,2022,10,4,0.08,0.09,0.1,0.12,0.21,0.13,5.13
516,2022,11,4,0.14,0.15,0.16,0.18,0.29,0.3,5.35
517,2022,12,4,0.19,0.2,0.22,0.24,0.35,0.42,5.5
518,2023,01,1,0.284045455,0.294545455,0.307045455,0.333920455,0.446420455,0.55,5.63
519,2023,02,1,0.375072917,0.386432292,0.404661458,0.43640625,0.543177083,0.55,5.63
520,2023,03,1,0.435402778,0.445,0.461666667,0.490833333,0.588055556,0.55,5.63
521,2023,04,2,0.470125,0.47625,0.4825,0.50125,0.595,0.55,5.63
522,2023,05,2,0.482625,0.48875,0.495,0.51375,0.6075,0.62,5.73
523,2023,06,2,0.48575,0.491875,0.498125,0.516875,0.610625,0.63,5.75
524,2023,07,3,0.494213542,0.500338542,0.506588542,0.525338542,0.617526042,0.64,5.77
525,2023,08,3,0.525101852,0.531226852,0.537476852,0.556226852,0.646851852,0.76,5.88
526,2023,09,3,0.54825,0.55375,0.5615625,0.5809375,0.6621875,0.76,5.88
527,2023,10,4,0.563875,0.56875,0.578125,0.598125,0.67,0.79,5.88
528,2023,11,4,0.563875,0.56875,0.578125,0.598125,0.67,0.79,5.88
529,2023,12,4,0.563875,0.56875,0.578125,0.598125,0.67,0.79,5.88

