IDX,Year,Month,Quarter,Overnight,1-week,1-month,3-month,6-month,9-month,12-month
72,2002,05,2,,,1.787945238,1.889669048,2.097789524,2.400191429,2.70344381
73,2002,06,2,,,1.722322,1.8232145,2.004464,2.251562,2.507032
74,2002,07,3,,,1.760958636,1.808846818,1.878348182,2.015422273,2.165585455
75,2002,08,3,,,1.702720455,1.721693636,1.747465909,1.815442727,1.910815455
76,2002,09,3,,,1.848108571,1.843855714,1.851721905,1.899660476,1.976933333
77,2002,10,4,,,2.058779524,2.042411905,2.035289524,2.075041905,2.149979524
78,2002,11,4,,,1.58333381,1.642219048,1.717899524,1.824618095,1.956208095
79,2002,12,4,,,1.537835,1.5489955,1.590402,1.7026785,1.83471
80,2003,01,1,,,1.415072857,1.439414286,1.491920952,1.585459048,1.691008095
81,2003,02,1,,,1.396616842,1.422814737,1.472862105,1.554276842,1.654604737
82,2003,03,1,,,1.356293333,1.366178571,1.384460952,1.450042857,1.53816
83,2003,04,2,,,1.4791295,1.478683,1.48817,1.554354,1.642076
84,2003,05,2,,,1.377009,1.3753355,1.38326,1.420089,1.4712065
85,2003,06,2,,,1.1587055,1.150224,1.164175,1.2136165,1.2694205
86,2003,07,3,,,1.151785909,1.162236364,1.207083182,1.275669545,1.364042273
87,2003,08,3,,,1.120110476,1.162627619,1.24415381,1.36766619,1.52009
88,2003,09,3,,,0.961415714,1.040072857,1.138288095,1.236500476,1.36479619
89,2003,10,4,,,0.2222,0.442268636,0.703530909,0.927557273,1.139205455
90,2003,11,4,,,0.127232,0.3121665,0.5742185,0.8527905,1.111886
91,2003,12,4,,,0.217101905,0.248300476,0.40178619,0.63637381,0.892586667
92,2004,01,1,,,0.060972632,0.120828947,0.222393158,0.378876316,0.562146842
93,2004,02,1,,,0.060994,0.1146775,0.223046,0.384096,0.5715955
94,2004,03,1,,,0.090741304,0.176582609,0.309977391,0.463897826,0.628252174
95,2004,04,2,,,0.070547368,0.187501053,0.403077895,0.630698421,0.861607368
96,2004,05,2,,,0.1730475,0.466296,0.847824,1.1776785,1.4819195
97,2004,06,2,,,0.203921429,0.532206667,0.920865238,1.267964286,1.604645238
98,2004,07,3,,,0.189041905,0.477253333,0.874521429,1.214020476,1.530984286
99,2004,08,3,,,0.440848636,0.802150909,1.148184091,1.426237273,1.711444091
100,2004,09,3,,,0.814399524,1.002425238,1.252377619,1.479704286,1.697368571
101,2004,10,4,,,0.737326842,0.919326842,1.100509474,1.281990526,1.468473684
102,2004,11,4,,,0.210778182,0.32462,0.582759545,0.839889545,1.068556818
103,2004,12,4,,,0.517048636,0.441178636,0.659093636,0.876444545,1.079254091
104,2005,01,1,,,0.45607381,0.710162381,0.967189524,1.188499524,1.396491905
105,2005,02,1,,,1.310507059,1.494244118,1.706984118,1.883008824,2.042428824
106,2005,03,1,,,2.066185238,2.307088571,2.547298571,2.745549524,2.926341905
107,2005,04,2,,,2.3477535,2.4726515,2.6308605,2.774363,2.893413
108,2005,05,2,,,2.525453,2.639501,2.811467,2.939663,3.047932
109,2005,06,2,,,3.283691818,3.289733182,3.348876818,3.392878636,3.432331818
